
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
   339 -4.9916e+00 +0.0000e+00 +0.0000e+00 
   340 -3.6982e+00 +0.0000e+00 +0.0000e+00 
   341 -3.9794e+00 +0.0000e+00 +0.0000e+00 
   342 -2.9719e+00 +0.0000e+00 +0.0000e+00 
   343 -2.8623e+00 +0.0000e+00 +0.0000e+00 
   344 -2.8542e+00 +0.0000e+00 +0.0000e+00 
   345 -2.0624e+00 +0.0000e+00 +0.0000e+00 
   346 -1.5770e+00 +0.0000e+00 +0.0000e+00 
   347 -1.3190e+00 +0.0000e+00 +0.0000e+00 
   348 -1.6078e+00 +0.0000e+00 +0.0000e+00 
   349 -6.2919e-01 +0.0000e+00 +0.0000e+00 
   350 -3.6654e-01 +0.0000e+00 +0.0000e+00 
   351 +5.3421e-02 +0.0000e+00 +0.0000e+00 
   352 +5.0350e-01 +0.0000e+00 +0.0000e+00 
   353 +1.9193e+00 +0.0000e+00 +0.0000e+00 
   354 +1.4914e+00 +0.0000e+00 +0.0000e+00 
   355 +2.7816e+00 +0.0000e+00 +0.0000e+00 
   356 +3.7666e+00 +0.0000e+00 +0.0000e+00 
   357 +3.3181e+00 +0.0000e+00 +0.0000e+00 
   358 +4.6988e+00 +0.0000e+00 +0.0000e+00 
   359 +4.7458e+00 +0.0000e+00 +0.0000e+00 
   360 +4.6898e+00 +0.0000e+00 +0.0000e+00 
   361 +4.3692e+00 +0.0000e+00 +0.0000e+00 
   362 +4.7338e+00 +0.0000e+00 +0.0000e+00 
   363 +5.3104e+00 +0.0000e+00 +0.0000e+00 
   364 +4.1972e+00 +0.0000e+00 +0.0000e+00 
   365 +5.1727e+00 +0.0000e+00 +0.0000e+00 
   366 +3.9807e+00 +0.0000e+00 +0.0000e+00 
   367 +4.0545e+00 +0.0000e+00 +0.0000e+00 
   368 +6.4501e+00 +0.0000e+00 +0.0000e+00 
   369 +6.3720e+00 +0.0000e+00 +0.0000e+00 
   370 +6.0395e+00 +0.0000e+00 +0.0000e+00 
   371 +6.0105e+00 +0.0000e+00 +0.0000e+00 
   372 +5.1868e+00 +0.0000e+00 +0.0000e+00 
   373 +5.2793e+00 +0.0000e+00 +0.0000e+00 
   374 +6.2464e+00 +0.0000e+00 +0.0000e+00 
   375 +7.0130e+00 +0.0000e+00 +0.0000e+00 
   376 +5.4098e+00 +0.0000e+00 +0.0000e+00 
   377 +4.8549e+00 +0.0000e+00 +0.0000e+00 
   378 +5.2443e+00 +0.0000e+00 +0.0000e+00 
   379 +4.5533e+00 +0.0000e+00 +0.0000e+00 
   380 +5.4414e+00 +0.0000e+00 +0.0000e+00 
   381 +4.6135e+00 +0.0000e+00 +0.0000e+00 
