
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
  1537 +0.0000e+00 +0.0000e+00 +3.1026e+01 
  1538 +0.0000e+00 +0.0000e+00 +4.7755e+01 
  1539 +0.0000e+00 +0.0000e+00 +4.5776e+01 
  1540 +0.0000e+00 +0.0000e+00 +4.7638e+01 
  1541 +0.0000e+00 +0.0000e+00 +4.7560e+01 
  1542 +0.0000e+00 +0.0000e+00 +4.6786e+01 
  1543 +0.0000e+00 +0.0000e+00 +4.7397e+01 
  1688 +0.0000e+00 +0.0000e+00 +3.1473e+01 
  1689 +0.0000e+00 +0.0000e+00 +2.7121e+01 
  1690 +0.0000e+00 +0.0000e+00 +2.0925e+01 
  1691 +0.0000e+00 +0.0000e+00 +1.7725e+01 
  1692 +0.0000e+00 +0.0000e+00 +1.1993e+01 
  1693 +0.0000e+00 +0.0000e+00 +9.1051e+00 
  1694 +0.0000e+00 +0.0000e+00 +4.7356e+00 
  1695 +0.0000e+00 +0.0000e+00 -1.4632e+00 
  1696 +0.0000e+00 +0.0000e+00 -4.0928e+00 
  1697 +0.0000e+00 +0.0000e+00 -8.5481e+00 
  1698 +0.0000e+00 +0.0000e+00 -1.3814e+01 
  1699 +0.0000e+00 +0.0000e+00 -1.6944e+01 
  1700 +0.0000e+00 +0.0000e+00 -2.1980e+01 
  1701 +0.0000e+00 +0.0000e+00 -2.6155e+01 
  1702 +0.0000e+00 +0.0000e+00 -3.2620e+01 
  1855 +0.0000e+00 +0.0000e+00 -4.8281e+01 
  1856 +0.0000e+00 +0.0000e+00 -4.7077e+01 
  1857 +0.0000e+00 +0.0000e+00 -4.7909e+01 
  1858 +0.0000e+00 +0.0000e+00 -4.8047e+01 
  1859 +0.0000e+00 +0.0000e+00 -4.6598e+01 
  1860 +0.0000e+00 +0.0000e+00 -4.8363e+01 
  1861 +0.0000e+00 +0.0000e+00 -3.1273e+01 
 17735 +0.0000e+00 +0.0000e+00 -2.5256e+00 
 17736 +0.0000e+00 +0.0000e+00 -1.0557e+01 
 17737 +0.0000e+00 +0.0000e+00 -6.4202e+00 
 17738 +0.0000e+00 +0.0000e+00 +3.1618e+01 
 17739 +0.0000e+00 +0.0000e+00 -2.5087e+01 
 17740 +0.0000e+00 +0.0000e+00 -2.2627e+01 
 17741 +0.0000e+00 +0.0000e+00 -1.9666e+01 
 17742 +0.0000e+00 +0.0000e+00 -1.5640e+01 
 17743 +0.0000e+00 +0.0000e+00 +2.5737e+00 
 17744 +0.0000e+00 +0.0000e+00 +6.3299e+00 
 17745 +0.0000e+00 +0.0000e+00 +1.0459e+01 
 17746 +0.0000e+00 +0.0000e+00 +1.6598e+01 
 17747 +0.0000e+00 +0.0000e+00 +1.9517e+01 
 17748 +0.0000e+00 +0.0000e+00 +2.2433e+01 
 17749 +0.0000e+00 +0.0000e+00 +2.5261e+01 
 17750 +0.0000e+00 +0.0000e+00 -3.0508e+01 
 17751 +0.0000e+00 +0.0000e+00 +3.3023e+01 
 17752 +0.0000e+00 +0.0000e+00 -3.3326e+01 
 17753 +0.0000e+00 +0.0000e+00 -3.3239e+01 
 17754 +0.0000e+00 +0.0000e+00 +3.3045e+01 
